replay,seed,swap,shop1,shop2
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111960563-replay.py,31386349,0,PIZZA_SHOP,FARMERS_MARKET
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111960563-replay.py,31386349,1,PIZZA_SHOP,FARMERS_MARKET
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111953726-replay.py,65881488,0,BRUNCH_SPOT,BRUNCH_SPOT
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111953726-replay.py,65881488,1,BRUNCH_SPOT,BRUNCH_SPOT
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111966789-replay.py,78095023,0,PET_CAFE,PIZZA_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111966789-replay.py,78095023,1,PET_CAFE,PIZZA_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111963288-replay.py,79748439,0,PET_CAFE,PIZZA_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111963288-replay.py,79748439,1,PET_CAFE,PIZZA_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111953889-replay.py,87381329,0,PET_CAFE,ICE_CREAM_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111953889-replay.py,87381329,1,PET_CAFE,ICE_CREAM_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111960743-replay.py,99641452,0,ICE_CREAM_SHOP,SMOOTHIE_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111960743-replay.py,99641452,1,ICE_CREAM_SHOP,SMOOTHIE_SHOP
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111954320-replay.py,143668139,0,ICE_CREAM_SHOP,FARMERS_MARKET
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111954320-replay.py,143668139,1,ICE_CREAM_SHOP,FARMERS_MARKET
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111971129-replay.py,150345068,0,FARMERS_MARKET,FARMERS_MARKET
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111971129-replay.py,150345068,1,FARMERS_MARKET,FARMERS_MARKET
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-111966407-replay.py,166531649,0,BAKERY,PIZZA_SHOP
