shop1,shop2,route,is_shipped,episodes,mean_margin
BAKERY,ICE_CREAM_SHOP,0,0,8,117524.5
BAKERY,ICE_CREAM_SHOP,1,0,8,107297.75
BAKERY,ICE_CREAM_SHOP,2,0,8,117512.75
BAKERY,ICE_CREAM_SHOP,3,0,8,104522.25
BAKERY,ICE_CREAM_SHOP,4,0,8,103710.5
BAKERY,ICE_CREAM_SHOP,5,0,8,107392.0
BAKERY,ICE_CREAM_SHOP,6,0,8,104418.0
BAKERY,ICE_CREAM_SHOP,7,0,8,103495.25
BAKERY,ICE_CREAM_SHOP,8,0,8,103484.25
BAKERY,ICE_CREAM_SHOP,9,0,8,101877.75
BAKERY,ICE_CREAM_SHOP,10,0,8,103793.75
BAKERY,ICE_CREAM_SHOP,11,0,8,104230.0
BAKERY,ICE_CREAM_SHOP,12,0,8,97777.25
BAKERY,ICE_CREAM_SHOP,100,0,8,116703.5
BAKERY,ICE_CREAM_SHOP,101,0,8,117080.25
BAKERY,ICE_CREAM_SHOP,103,0,8,118309.25
BAKERY,ICE_CREAM_SHOP,104,0,8,117439.25
BAKERY,ICE_CREAM_SHOP,105,1,8,120419.5
BAKERY,ICE_CREAM_SHOP,106,0,8,120419.75
BAKERY,ICE_CREAM_SHOP,107,0,8,117507.5
BAKERY,ICE_CREAM_SHOP,108,0,8,120839.5
BAKERY,ICE_CREAM_SHOP,109,0,8,104282.0
BAKERY,ICE_CREAM_SHOP,110,0,8,118093.75
BAKERY,ICE_CREAM_SHOP,111,0,8,113039.75
BAKERY,ICE_CREAM_SHOP,112,0,8,117438.75
BAKERY,ICE_CREAM_SHOP,113,0,8,117253.75
BAKERY,ICE_CREAM_SHOP,114,0,8,112729.0
BAKERY,ICE_CREAM_SHOP,115,0,8,112389.0
BAKERY,ICE_CREAM_SHOP,116,0,8,117080.25
BAKERY,ICE_CREAM_SHOP,117,0,8,111323.5
BAKERY,ICE_CREAM_SHOP,118,0,8,116128.75
BAKERY,ICE_CREAM_SHOP,119,0,8,117080.25
BAKERY,ICE_CREAM_SHOP,120,0,8,120617.25
BAKERY,ICE_CREAM_SHOP,121,0,8,120318.0
BAKERY,ICE_CREAM_SHOP,122,0,8,120839.5
BAKERY,ICE_CREAM_SHOP,123,0,8,118858.5
BAKERY,ICE_CREAM_SHOP,124,0,8,121437.5
BAKERY,ICE_CREAM_SHOP,125,0,8,120419.5
BAKERY,ICE_CREAM_SHOP,126,0,8,105064.5
BAKERY,ICE_CREAM_SHOP,127,0,8,104282.0
BAKERY,ICE_CREAM_SHOP,128,0,8,104345.25
BAKERY,PIZZA_SHOP,0,0,5,117486.6
BAKERY,PIZZA_SHOP,1,0,5,116679.6
BAKERY,PIZZA_SHOP,2,0,5,117332.0
BAKERY,PIZZA_SHOP,3,0,5,118891.6
BAKERY,PIZZA_SHOP,4,0,5,116747.0
BAKERY,PIZZA_SHOP,5,0,5,117433.8
BAKERY,PIZZA_SHOP,6,0,5,118781.6
BAKERY,PIZZA_SHOP,7,0,5,117192.4
BAKERY,PIZZA_SHOP,8,0,5,117190.8
BAKERY,PIZZA_SHOP,9,0,5,116230.8
BAKERY,PIZZA_SHOP,10,0,5,109307.0
BAKERY,PIZZA_SHOP,11,0,5,118697.2
BAKERY,PIZZA_SHOP,12,0,5,104536.4
BAKERY,PIZZA_SHOP,100,0,5,123514.4
BAKERY,PIZZA_SHOP,101,0,5,112862.6
BAKERY,PIZZA_SHOP,103,0,5,113704.2
BAKERY,PIZZA_SHOP,104,0,5,109686.8
BAKERY,PIZZA_SHOP,105,0,5,115728.6
BAKERY,PIZZA_SHOP,106,0,5,115728.6
BAKERY,PIZZA_SHOP,107,1,5,122389.4
BAKERY,PIZZA_SHOP,108,0,5,112108.2
BAKERY,PIZZA_SHOP,109,0,5,119022.4
BAKERY,PIZZA_SHOP,110,0,5,115633.2
BAKERY,PIZZA_SHOP,111,0,5,113236.8
BAKERY,PIZZA_SHOP,112,0,5,112841.6
BAKERY,PIZZA_SHOP,113,0,5,113045.2
BAKERY,PIZZA_SHOP,114,0,5,111457.6
BAKERY,PIZZA_SHOP,115,0,5,109926.8
BAKERY,PIZZA_SHOP,116,0,5,112862.6
BAKERY,PIZZA_SHOP,117,0,5,111482.6
BAKERY,PIZZA_SHOP,118,0,5,112788.8
BAKERY,PIZZA_SHOP,119,0,5,112862.6
BAKERY,PIZZA_SHOP,120,0,5,115763.0
BAKERY,PIZZA_SHOP,121,0,5,115527.4
BAKERY,PIZZA_SHOP,122,0,5,112108.2
BAKERY,PIZZA_SHOP,123,0,5,123357.8
BAKERY,PIZZA_SHOP,124,0,5,112545.0
BAKERY,PIZZA_SHOP,125,0,5,115728.6
BAKERY,PIZZA_SHOP,126,0,5,120593.4
BAKERY,PIZZA_SHOP,127,0,5,119022.4
BAKERY,PIZZA_SHOP,128,0,5,119030.0
BRUNCH_SPOT,BAKERY,0,0,6,75195.0
BRUNCH_SPOT,BAKERY,1,0,6,64884.67
BRUNCH_SPOT,BAKERY,2,0,6,75127.67
BRUNCH_SPOT,BAKERY,3,0,6,63048.33
BRUNCH_SPOT,BAKERY,4,0,6,65062.67
BRUNCH_SPOT,BAKERY,5,0,6,64901.33
BRUNCH_SPOT,BAKERY,6,0,6,63091.67
BRUNCH_SPOT,BAKERY,7,0,6,64792.67
BRUNCH_SPOT,BAKERY,8,0,6,64827.0
BRUNCH_SPOT,BAKERY,9,0,6,59110.67
BRUNCH_SPOT,BAKERY,10,0,6,56552.67
BRUNCH_SPOT,BAKERY,11,0,6,63072.67
BRUNCH_SPOT,BAKERY,12,0,6,55798.33
BRUNCH_SPOT,BAKERY,100,0,6,75127.67
BRUNCH_SPOT,BAKERY,101,0,6,75608.0
BRUNCH_SPOT,BAKERY,103,1,6,77109.0
BRUNCH_SPOT,BAKERY,104,0,6,75974.67
BRUNCH_SPOT,BAKERY,105,0,6,75608.0
BRUNCH_SPOT,BAKERY,106,0,6,75946.0
BRUNCH_SPOT,BAKERY,107,0,6,75629.33
BRUNCH_SPOT,BAKERY,108,0,6,75720.33
BRUNCH_SPOT,BAKERY,109,0,6,63147.0
BRUNCH_SPOT,BAKERY,110,0,6,78547.0
BRUNCH_SPOT,BAKERY,111,0,6,74950.0
BRUNCH_SPOT,BAKERY,112,0,6,76342.67
BRUNCH_SPOT,BAKERY,113,0,6,75662.0
BRUNCH_SPOT,BAKERY,114,0,6,71393.33
BRUNCH_SPOT,BAKERY,115,0,6,70503.33
BRUNCH_SPOT,BAKERY,116,0,6,75608.0
BRUNCH_SPOT,BAKERY,117,0,6,74598.0
BRUNCH_SPOT,BAKERY,118,0,6,75550.0
BRUNCH_SPOT,BAKERY,119,0,6,75608.0
BRUNCH_SPOT,BAKERY,120,0,6,76190.0
BRUNCH_SPOT,BAKERY,121,0,6,75635.67
BRUNCH_SPOT,BAKERY,122,0,6,75720.33
BRUNCH_SPOT,BAKERY,123,0,6,76567.67
BRUNCH_SPOT,BAKERY,124,0,6,76758.67
BRUNCH_SPOT,BAKERY,125,0,6,75608.0
BRUNCH_SPOT,BAKERY,126,0,6,64420.0
BRUNCH_SPOT,BAKERY,127,0,6,63147.0
BRUNCH_SPOT,BAKERY,128,0,6,63350.67
BRUNCH_SPOT,SMOOTHIE_SHOP,0,0,8,38041.0
BRUNCH_SPOT,SMOOTHIE_SHOP,1,0,8,37998.0
BRUNCH_SPOT,SMOOTHIE_SHOP,2,0,8,37850.75
BRUNCH_SPOT,SMOOTHIE_SHOP,3,0,8,38365.25
BRUNCH_SPOT,SMOOTHIE_SHOP,4,0,8,37876.5
BRUNCH_SPOT,SMOOTHIE_SHOP,5,0,8,38119.25
BRUNCH_SPOT,SMOOTHIE_SHOP,6,0,8,38421.75
BRUNCH_SPOT,SMOOTHIE_SHOP,7,0,8,38837.0
BRUNCH_SPOT,SMOOTHIE_SHOP,8,0,8,38853.5
BRUNCH_SPOT,SMOOTHIE_SHOP,9,0,8,35912.5
BRUNCH_SPOT,SMOOTHIE_SHOP,10,0,8,38638.0
BRUNCH_SPOT,SMOOTHIE_SHOP,11,0,8,38767.25
BRUNCH_SPOT,SMOOTHIE_SHOP,12,0,8,17340.5
BRUNCH_SPOT,SMOOTHIE_SHOP,100,0,8,37600.75
BRUNCH_SPOT,SMOOTHIE_SHOP,101,0,8,37091.0
BRUNCH_SPOT,SMOOTHIE_SHOP,103,0,8,38709.5
BRUNCH_SPOT,SMOOTHIE_SHOP,104,0,8,35500.0
BRUNCH_SPOT,SMOOTHIE_SHOP,105,1,8,35924.25
BRUNCH_SPOT,SMOOTHIE_SHOP,106,0,8,35926.0
BRUNCH_SPOT,SMOOTHIE_SHOP,107,0,8,35942.0
BRUNCH_SPOT,SMOOTHIE_SHOP,108,0,8,34734.5
BRUNCH_SPOT,SMOOTHIE_SHOP,109,0,8,37409.0
BRUNCH_SPOT,SMOOTHIE_SHOP,110,0,8,35187.25
BRUNCH_SPOT,SMOOTHIE_SHOP,111,0,8,31035.5
BRUNCH_SPOT,SMOOTHIE_SHOP,112,0,8,37274.5
BRUNCH_SPOT,SMOOTHIE_SHOP,113,0,8,37014.75
BRUNCH_SPOT,SMOOTHIE_SHOP,114,0,8,38551.0
BRUNCH_SPOT,SMOOTHIE_SHOP,115,0,8,38527.5
BRUNCH_SPOT,SMOOTHIE_SHOP,116,0,8,37091.0
BRUNCH_SPOT,SMOOTHIE_SHOP,117,0,8,34405.5
BRUNCH_SPOT,SMOOTHIE_SHOP,118,0,8,35851.75
BRUNCH_SPOT,SMOOTHIE_SHOP,119,0,8,37091.0
BRUNCH_SPOT,SMOOTHIE_SHOP,120,0,8,36322.0
